filepath,label,split,target
data/image/Vegetable Images/test/Capsicum/1046.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1052.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1085.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1091.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1090.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1084.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1053.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1047.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1127.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1133.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1119.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1125.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1131.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1079.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1051.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1045.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1092.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1086.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1087.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1093.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1044.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1050.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1078.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1130.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1124.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1118.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1120.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1134.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1108.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1054.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1040.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1068.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1097.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1083.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1082.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1096.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1069.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1041.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1055.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1109.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1135.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1121.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1137.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1123.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1043.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1057.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1080.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1094.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1095.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1081.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1056.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1042.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1122.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1136.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1113.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1107.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1067.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1073.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1098.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1099.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1072.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1066.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1106.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1112.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1138.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1104.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1110.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1058.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1070.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1064.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1065.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1071.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1059.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1111.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1105.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1139.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1101.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1115.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1129.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1075.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1061.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1049.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1048.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1060.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1074.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1128.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1114.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1100.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1116.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1102.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1062.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1076.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1089.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1088.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1077.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1063.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1103.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1117.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1158.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1170.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1164.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1038.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1004.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1010.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1011.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1005.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1039.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1165.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1171.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1159.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1167.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1173.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1198.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1013.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1007.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1006.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1012.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1199.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1172.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1166.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1162.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1176.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1189.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1016.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1002.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1200.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1003.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1017.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1188.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1177.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1163.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1175.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1161.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1149.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1001.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1015.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1029.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1028.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1014.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1148.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1160.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Capsicum/1174.jpg,Capsicum,test,6
data/image/Vegetable Images/test/Radish/1179.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1151.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1145.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1192.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1186.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1019.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1025.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1031.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1030.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1024.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1018.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1187.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1193.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1144.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1150.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1178.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1146.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1152.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1185.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1191.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1032.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1026.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1027.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1033.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1190.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1184.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1153.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1147.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1143.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1157.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1180.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1194.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1037.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1023.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1022.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1036.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1195.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1181.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1156.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1142.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1154.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1140.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1168.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1197.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1183.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1020.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1034.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1008.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1009.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1035.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1021.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1182.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1196.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1169.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1141.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1155.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1132.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1126.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1046.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1052.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1085.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1091.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1090.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1084.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1053.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1047.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1127.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1133.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1119.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1125.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1131.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1079.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1051.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1045.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1092.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1086.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1087.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1093.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1044.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1050.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1078.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1130.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1124.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1118.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1120.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1134.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1108.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1054.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1040.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1068.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1097.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1083.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1082.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1096.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1069.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1041.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1055.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1109.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1135.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1121.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1137.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1123.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1043.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1057.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1080.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1094.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1095.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1081.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1056.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1042.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1122.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1136.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1113.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1107.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1067.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1073.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1098.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1099.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1072.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1066.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1106.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1112.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1138.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1104.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1110.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1058.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1070.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1064.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1065.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1071.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1059.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1111.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1105.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1139.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1101.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1115.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1129.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1075.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1061.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1049.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1048.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1060.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1074.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1128.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1114.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1100.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1116.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1102.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1062.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1076.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1089.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1088.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1077.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1063.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1103.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1117.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1158.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1170.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1164.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1038.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1004.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1010.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1011.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1005.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1039.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1165.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1171.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1159.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1167.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1173.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1198.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1013.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1007.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1006.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1012.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1199.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1172.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1166.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1162.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1176.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1189.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1016.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1002.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1200.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1003.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1017.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1188.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1177.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1163.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1175.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1161.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1149.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1001.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1015.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1029.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1028.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1014.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1148.jpg,Radish,test,13
data/image/Vegetable Images/test/Radish/1160.jpg,Radish,test,13
